Reference,Value,Purchase Link,Datasheet,Footprint,Qty,DNP
A1,Arduino_Nano_v3.x,,http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf,Module:Arduino_Nano,1,
BT1,Battery_Cell,https://www.mouser.ca/ProductDetail/Keystone-Electronics/3000?qs=Mn60vILZNNbcLh3ZnzbtUw%3D%3D,https://www.mouser.ca/ProductDetail/Keystone-Electronics/3000?qs=Mn60vILZNNbcLh3ZnzbtUw%3D%3D,Battery:BatteryHolder_Keystone_3000_1x12mm,1,
BZ1,CX-1612C,https://www.mouser.ca/ProductDetail/Same-Sky/CX-1612C?qs=WyjlAZoYn51Lu2CSChkNrQ%3D%3D,~,Buzzer_Beeper:Buzzer_15x7.5RM7.6,1,
"C1,C3,C4",22uF,https://www.digikey.ca/en/products/detail/samsung-electro-mechanics/CL31A226KAHNNNE/3888705,~,Capacitor_SMD:C_1206_3216Metric,3,
C2,100nF,https://www.digikey.ca/en/products/detail/samsung-electro-mechanics/CL31B104KBCNNNC/3886675,~,Capacitor_SMD:C_1206_3216Metric,1,
"C5,C6",0.1uF,,~,Capacitor_SMD:C_0805_2012Metric,2,
"C7,C9,C10",0.1u,,~,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,3,
C8,10u,,~,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,
"C11,C12",1.0u,,~,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,2,
C13,22p,,~,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,
"C14,C15",1u,https://www.digikey.ca/en/products/detail/walsin-technology-corporation/1206B103J500CT/9355096,~,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,2,
D1,WS2812B_5050,https://www.digikey.ca/en/products/detail/sparkfun-electronics/COM-16347/11630204,https://cdn.sparkfun.com/datasheets/BreakoutBoards/WS2812B.pdf,SparkFun-LED:WS2812-5050-4PIN,1,
D2,H178CAD ,https://www.mouser.ca/ProductDetail/Bivar/H178CAD?qs=LbIio39SXC0jTCktxHQegA%3D%3D,~,KML-Custom:H178CAD_P2.54mm_RightAngle_LED,1,
D3,1N4007,https://www.mouser.ca/ProductDetail/Diotec-Semiconductor/1N4007?qs=OlC7AqGiEDmK9mU1uTiCkg%3D%3D,https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,1,
D4,1N4148,https://www.mouser.ca/ProductDetail/onsemi-Fairchild/1N4148?qs=i4Fj9T%2FoRm8RMUhj5DeFQg%3D%3D,https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,1,
"H1,H2,H3,H4",MountingHole,N/A,~,MountingHole:MountingHole_5mm,4,
HS1,Heatsink_Pad,N/A,~,KML-Custom:Thermal Pad,1,
IC1,DS3234S#,https://www.mouser.ca/ProductDetail/Analog-Devices-Maxim-Integrated/DS3234S?qs=1eQvB6Dk1vhNRvcRKqeJUg%3D%3D,https://datasheets.maximintegrated.com/en/ds/DS3234.pdf,KML-Custom:SOIC127P1032X265-20N,1,
J1,I2C_01x04,,~,Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,
J2,Conn_01x10_Female,,~,Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Horizontal,1,
J3,MicroSD_502570-0893,https://www.mouser.ca/ProductDetail/Molex/502570-0893?qs=xbccQsLEe0eiL%252BVgS3E4nA%3D%3D,https://componentsearchengine.com/Datasheets/2/502570-0893.pdf,KML-Custom:MicroSD_5025700893,1,
JP3,Jumper_2_Open,,~,Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,
K2,SANYOU_SRD_Form_C,,http://www.sanyourelay.ca/public/products/pdf/SRD.pdf,Relay_THT:Relay_SPDT_SANYOU_SRD_Series_Form_C,1,
L1,4.7uH,https://www.digikey.ca/en/products/detail/tdk-corporation/BCL322520RT-4R7M-D/15849704,~,Inductor_SMD:L_1210_3225Metric,1,
"PR1,PR2,PR3,PR4,R6,R7,R8,R9",4.7k,,~,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,8,
"Q1,Q2",IRLZ34N,,http://www.infineon.com/dgdl/irlz34npbf.pdf?fileId=5546d462533600a40153567206892720,Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown,2,
R1,85,,~,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1,
"R2,R5",220,,~,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,2,
"R3,R4,R15",10k,,~,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,3,
"R10,R16",10K,,~,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,2,
"R11,R12,R13,R14",100k,,~,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,4,
U1,~,,,Package_TO_SOT_SMD:TSOT-23-6,1,
"U2,U3,U4,U5",MQ-x,,https://www.winsen-sensor.com/d/files/semiconductor/mq-6.pdf,Sensor:MQ-6,4,
U6,BME280,,https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bme280-ds002.pdf,Package_LGA:Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,1,
U7,ENS160-BGLM,,,KML-Custom:XDCR_ENS160-BGLM,1,
U8,TXB0104D,https://www.mouser.ca/ProductDetail/Texas-Instruments/TXB0104D?qs=oFXvjAmG9Eh0u9dpGkn5zg%3D%3D,http://www.ti.com/lit/ds/symlink/txb0104.pdf,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,1,
U9,AP2112K-3.3,,https://www.diodes.com/assets/Datasheets/AP2112.pdf,Package_TO_SOT_SMD:SOT-23-5,1,
U10,AP2127K-1.8,,https://www.diodes.com/assets/Datasheets/AP2127.pdf,Package_TO_SOT_SMD:SOT-23-5,1,
